patient,algorithm,train_seed,test_seed,dt_requested,dt_actual,sensor,test_days,tir,tbr,tar,cv,bg_mean,bg_std,magni,action_mean,coverage,early_termination,action_max,action_min,action_std,expected_steps,insulin_max,insulin_mean,insulin_min,insulin_std,n_steps,reward_sum
adult#1,PhiBE-alpha1.25,0,2,5.0,5.0,GuardianRT,10.0,64.72222222222223,0.0,35.27777777777778,23.733898507394272,163.66421041286327,38.84389759231718,3.9675075032183877,0.025698127012906802,100.0,False,0.0797966793179512,0.0,0.010591720449451668,2880,0.723407677499492,0.028893780195001974,-0.05644163732068383,0.03935204959445523,2880,-11426.421609268957
adult#1,TD3-BC,1,0,1.0,1.0,Navigator,10.0,91.0625,1.0347222222222223,7.902777777777778,25.36922833738384,132.658315663926,33.654391009308824,4.161483438268976,0.020993611849456403,100.0,False,0.06298945844173431,0.0,0.012996553008472364,14400,10.293123968753102,0.03417184728581969,0.0,0.3077802151711335,14400,-59925.361511073424
adult#1,PhiBE-alpha1.25,1,0,1.0,1.0,Navigator,10.0,91.63888888888889,4.180555555555555,4.180555555555555,27.48472474562244,122.4417566142632,33.6527797791352,5.972804895578936,0.02357809845616834,100.0,False,0.06488344818353653,0.0,0.01300409252795812,14400,10.263207347088112,0.03610772142949851,0.0,0.29456290237578436,14400,-86008.39049633683
adult#1,TD3-BC,1,0,3.0,3.0,Dexcom,10.0,69.45833333333333,0.10416666666666667,30.4375,24.407984717052816,154.9858718665086,37.82892791876848,3.7684347819929584,0.026191334473357225,100.0,False,0.07335323840379715,0.0,0.010244178588382894,4800,1.2192045362259691,0.030518136180624003,-0.010648380790887108,0.06366940830549149,4800,-18088.48695356622
adult#1,PhiBE-alpha1.25,1,0,3.0,3.0,Dexcom,10.0,73.91666666666666,0.16666666666666669,25.916666666666664,25.097473923190687,149.99344388158687,37.64456546467692,3.7448751185986526,0.027318015735945663,100.0,False,0.0690004825592041,0.0,0.010016407630425907,4800,1.2199057370385324,0.031250439867472446,-0.02193638534198635,0.05948319019223382,4800,-17975.40056927355
adult#1,TD3-BC,1,0,5.0,5.0,GuardianRT,10.0,63.33333333333333,0.10416666666666667,36.5625,24.001835428691976,160.86630960120786,38.61086689069203,4.006892613444377,0.026847215088976858,100.0,False,0.07418965548276901,0.0,0.010300739313034246,2880,0.5453251552790338,0.029502410953908105,-0.09955930850773967,0.0343727778545047,2880,-11539.850726719807
adult#1,PhiBE-alpha1.25,1,0,5.0,5.0,GuardianRT,10.0,68.50694444444444,0.1388888888888889,31.354166666666668,24.773821071432227,155.74665646789958,38.58439799809567,3.8667778815249423,0.02801248498209235,100.0,False,0.07734473794698715,0.0,0.010719769803121226,2880,0.5319844157155268,0.03025709740949651,-0.1194415721524858,0.0316513703899785,2880,-11136.320298791843
adult#1,TD3-BC,1,1,1.0,1.0,Navigator,10.0,86.29166666666667,4.263888888888888,9.444444444444445,29.188815578322618,129.4656763741695,37.78949751408433,5.851413051929014,0.02104159786948003,100.0,False,0.07292585074901581,0.0,0.013036772955431592,14400,10.562587413458177,0.034338006504827934,0.0,0.30993529248992924,14400,-84260.34794777815
adult#1,PhiBE-alpha1.25,1,1,1.0,1.0,Navigator,10.0,86.93055555555556,7.458333333333334,5.611111111111111,30.8471491099025,119.85277707701283,36.97116485730519,7.826953281605177,0.02374347009915962,100.0,False,0.05977426469326019,0.0,0.012881429046422619,14400,10.200066131584034,0.03636894511598657,0.0,0.29607718129432103,14400,-112708.12725511428
adult#1,TD3-BC,1,1,3.0,3.0,Dexcom,10.0,69.35416666666666,0.20833333333333334,30.4375,26.716636071036078,155.084875796008,41.43346186763777,4.356637635957693,0.025842412759860357,100.0,False,0.061636026948690414,0.0,0.010461173782504503,4800,1.328876667525489,0.030337995663372173,0.0,0.06406154892893334,4800,-20911.860652596934
adult#1,PhiBE-alpha1.25,1,1,3.0,3.0,Dexcom,10.0,72.60416666666667,0.9583333333333333,26.437500000000004,27.98998167792873,149.03194311701466,41.71401357271357,4.6108110315905435,0.02732633425310875,100.0,False,0.07682136446237564,0.0,0.010627113322555197,4800,1.3441366914035662,0.03141278396785032,-0.061926586822318594,0.06013386997326402,4800,-22131.89295163462
adult#1,TD3-BC,1,1,5.0,5.0,GuardianRT,10.0,63.05555555555556,0.1388888888888889,36.80555555555556,25.76223911309076,162.90004501653908,41.96669911249329,4.554489079772931,0.026261386675954176,100.0,False,0.07017175108194351,0.0,0.011105954731181382,2880,0.6245580862799661,0.029199487524555787,-0.03776831593014304,0.03561492787700964,2880,-13116.92854974608
adult#1,PhiBE-alpha1.25,1,1,5.0,5.0,GuardianRT,10.0,67.74305555555556,0.45138888888888884,31.805555555555554,27.2831073796367,156.13324692710364,42.598001414435004,4.609907169413322,0.02777466056642071,100.0,False,0.08592244982719421,0.0,0.011542209639308104,2880,0.5904340488942776,0.030262196215980777,-0.09600299364348235,0.03281253680900496,2880,-13276.532647910353
adult#1,TD3-BC,1,2,1.0,1.0,Navigator,10.0,88.96527777777777,3.4652777777777777,7.569444444444444,27.284590295739402,129.1486349452999,35.2376759173652,5.063269294032681,0.02090364511267075,100.0,False,0.06101434677839279,0.0,0.01285474889433966,14400,11.11170467615867,0.03440892232480909,0.0,0.30916444776346597,14400,-72911.07783407025
adult#1,PhiBE-alpha1.25,1,2,1.0,1.0,Navigator,10.0,87.65277777777779,8.145833333333332,4.201388888888889,29.23387711187172,117.59826140293083,34.37853122423047,7.443676919864306,0.02395194495711217,100.0,False,0.06994307041168213,0.0,0.013132195358946575,14400,10.78906085680447,0.036650198311899515,0.0,0.2931241079401564,14400,-107188.94764604577
adult#1,TD3-BC,1,2,3.0,3.0,Dexcom,10.0,77.1875,0.0,22.8125,25.60472999007676,150.2994085918914,38.483757746636016,3.7608595230108888,0.02633983892640875,100.0,False,0.07200077176094055,0.0,0.01036837180177639,4800,1.5761746985548302,0.030867387512165424,0.0,0.06550089128931609,4800,-18052.1257104523
adult#1,PhiBE-alpha1.25,1,2,3.0,3.0,Dexcom,10.0,79.8125,0.0,20.1875,25.68708627443111,146.9266781519807,37.74118257705501,3.6501168870903755,0.027305771433360253,100.0,False,0.07779422402381897,0.0,0.009927113050213862,4800,1.5756169576216077,0.0315018914659064,0.0,0.06264973768766344,4800,-17520.561058033763
adult#1,TD3-BC,1,2,5.0,5.0,GuardianRT,10.0,71.73611111111111,0.0,28.26388888888889,25.11071567354819,156.05327230243014,39.18609350713116,3.8390908004664164,0.027089678730893258,100.0,False,0.0701744332909584,0.0,0.01081370632235782,2880,0.7295461663582047,0.029925796998671355,-0.07319027509150655,0.036800425378526354,2880,-11056.581505343287
adult#1,PhiBE-alpha1.25,1,2,5.0,5.0,GuardianRT,10.0,75.13888888888889,0.0,24.86111111111111,24.860937309395183,152.57312786119863,37.93110966855595,3.575484482089462,0.02801988188423113,100.0,False,0.08432412892580032,0.0,0.010669804041390691,2880,0.683722284340528,0.03052232247469833,-0.09533215060934182,0.0341869204145225,2880,-10297.395308417636
adult#1,TD3-BC,2,0,1.0,1.0,Navigator,10.0,90.11805555555556,0.9097222222222222,8.972222222222221,24.957944214265005,134.71145881035142,33.62121074011009,3.903574853973458,0.02050273192975308,100.0,False,0.06614215672016144,0.0,0.012780551235001592,14400,10.259311283828483,0.033803147125217425,0.0,0.31025103449073105,14400,-56211.47789721773
adult#1,PhiBE-alpha1.25,2,0,1.0,1.0,Navigator,10.0,92.70833333333334,1.3472222222222223,5.944444444444445,25.895404410811263,128.72896312686774,33.33488559554651,4.638630026941358,0.021927801808795062,100.0,False,0.06385135650634766,0.0,0.011303874775874823,14400,10.236335356511269,0.034849850209900245,0.0,0.30214715250796315,14400,-66796.27238795531
adult#1,TD3-BC,2,0,3.0,3.0,Dexcom,10.0,65.85416666666667,0.0,34.14583333333333,24.017329841841253,158.63283549579631,38.09937133849083,3.871841203003918,0.025319265002423586,100.0,False,0.06506980955600739,0.0,0.00930827775260217,4800,1.2196807585574867,0.02987495308061747,0.0,0.06622537381200932,4800,-18584.83777441882
adult#1,PhiBE-alpha1.25,2,0,3.0,3.0,Dexcom,10.0,70.5625,0.04166666666666667,29.395833333333332,24.759672384809996,153.91648160739447,38.10921659221721,3.7963682864917305,0.026495601223044406,100.0,False,0.07326799631118774,0.0,0.009119990211488922,4800,1.2811395557627059,0.030655255506900396,0.0,0.06182690543534316,4800,-18222.567775160325
adult#1,TD3-BC,2,0,5.0,5.0,GuardianRT,10.0,59.27083333333333,0.0,40.729166666666664,23.181714100848012,166.74906132909794,38.6552906631592,4.300411373268198,0.02573218819517125,100.0,False,0.0642840564250946,0.0,0.009574701174038266,2880,0.5651121798700368,0.028704410544319037,-0.0252355677195222,0.03654345676006294,2880,-12385.184755012417
adult#1,PhiBE-alpha1.25,2,0,5.0,5.0,GuardianRT,10.0,61.875,0.0,38.125,23.52874421124383,164.0728371922402,38.60427818309273,4.118933212942904,0.026394005031842326,100.0,False,0.07985605299472809,0.0,0.009569024887154134,2880,0.5698200509124188,0.0290810788954051,-0.04669034957278796,0.03464119341684338,2880,-11862.527653275556
adult#1,TD3-BC,2,1,1.0,1.0,Navigator,10.0,86.76388888888889,2.4791666666666665,10.756944444444445,29.050608963590157,132.6869364275976,38.54636304734884,5.543913430493192,0.02023909388840871,100.0,False,0.07294851541519165,0.0,0.012229864886905459,14400,10.724690195708181,0.03375030464954607,0.0,0.31397956095363994,14400,-79832.3533991019
adult#1,PhiBE-alpha1.25,2,1,1.0,1.0,Navigator,10.0,86.88194444444444,5.298611111111111,7.819444444444444,29.967170079844323,125.65750668524711,37.65599874645975,6.586259005542723,0.022027483089736455,100.0,False,0.05890322104096413,0.0,0.011626688531134563,14400,10.370161014825444,0.035089204371907115,0.0,0.3051642194983713,14400,-94842.1296798154
adult#1,TD3-BC,2,1,3.0,3.0,Dexcom,10.0,64.39583333333333,0.125,35.479166666666664,25.743497835332185,161.14257373093403,41.48373498022158,4.455891586400543,0.024481872309115714,100.0,False,0.07001428306102753,0.0,0.010076355371000163,4800,1.4658718393712684,0.02938453205195057,0.0,0.06870111698845195,4800,-21388.279614722607
adult#1,PhiBE-alpha1.25,2,1,3.0,3.0,Dexcom,10.0,70.95833333333333,0.4166666666666667,28.625,27.2690469861182,152.81759571133915,41.67190197758123,4.475375469740095,0.026390172246222695,100.0,False,0.07781290262937546,0.0,0.009975248310912328,4800,1.3640182584060554,0.03071213217977696,-0.01700478552508663,0.062445254007009836,4800,-21481.80225475253
adult#1,TD3-BC,2,1,5.0,5.0,GuardianRT,10.0,59.27083333333333,0.06944444444444445,40.65972222222222,24.643567975522483,168.14303601847283,41.436443377319605,4.7481189439766975,0.025160145993059914,100.0,False,0.07083072513341904,0.0,0.010961048926992087,2880,0.6536301807260487,0.028411987096569367,-0.04138309422927819,0.03807328084280127,2880,-13674.582558652946
adult#1,PhiBE-alpha1.25,2,1,5.0,5.0,GuardianRT,10.0,64.82638888888889,0.20833333333333334,34.96527777777778,26.473040430522776,161.29588168830108,42.699923972112124,4.6800871216931945,0.026665662727060002,100.0,False,0.08027375489473343,0.0,0.010646956224713464,2880,0.6249466979140222,0.02944547041555961,-0.11243477270684143,0.03472737565307748,2880,-13478.650910476395
adult#1,TD3-BC,2,2,1.0,1.0,Navigator,10.0,89.85416666666667,1.7847222222222223,8.36111111111111,25.935561218807628,132.74592912867928,34.428401714643606,4.242544273935353,0.02004846414467061,100.0,False,0.05849144607782364,0.0,0.011932318270401783,14400,11.056081936018774,0.0337487536339983,0.0,0.31270579233039286,14400,-61092.6375446692
adult#1,PhiBE-alpha1.25,2,2,1.0,1.0,Navigator,10.0,89.56944444444444,4.694444444444444,5.736111111111112,27.708591403937483,124.2637948668426,34.43174718268045,5.71175061825807,0.02212823824543092,100.0,False,0.07092184573411942,0.0,0.011419240271360548,14400,11.027089869621815,0.035289092923235156,0.0,0.30243504818080535,14400,-82249.20890291633
adult#1,TD3-BC,2,2,3.0,3.0,Dexcom,10.0,72.60416666666667,0.0,27.395833333333336,24.796923841232697,155.57362185361532,38.577472528088336,3.7464874737275955,0.025172894757318622,100.0,False,0.0629202201962471,0.0,0.009204956303439307,4800,1.599376135850464,0.030029119004346884,0.0,0.06908793362810703,4800,-17983.13987389246
adult#1,PhiBE-alpha1.25,2,2,3.0,3.0,Dexcom,10.0,77.97916666666667,0.0,22.020833333333336,25.6239279077627,149.72279086835547,38.364859993597726,3.7652485135939653,0.02662454396331062,100.0,False,0.07922476530075073,0.0,0.00996722197348235,4800,1.6203505996154524,0.03106581951803925,0.0,0.0649874176497568,4800,-18073.19286525104
adult#1,TD3-BC,2,2,5.0,5.0,GuardianRT,10.0,65.52083333333333,0.0,34.479166666666664,23.753916358657495,163.31898307595472,38.794654637672274,3.969293970343677,0.025613074208700307,100.0,False,0.0667734444141388,0.0,0.010054613869575759,2880,0.7323087712937392,0.028888429908718788,-0.004497885041533988,0.03947143811048532,2880,-11431.566634589793
adult#1,PhiBE-alpha1.25,2,2,5.0,5.0,GuardianRT,10.0,71.11111111111111,0.0,28.888888888888886,24.516400977954355,158.2869306447514,38.80625861256377,3.8238353155635183,0.026850020467342497,100.0,False,0.08781018853187561,0.0,0.010403865925304852,2880,0.7119609436078844,0.02974584757316304,-0.03266974811323824,0.0372946677543424,2880,-11012.645708822942
